CountryName,date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H6_Flag,ConfirmedCases,StringencyIndex,2020_sca,mean_sca,inc,mean,dif
Canada,20200601,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,93288.0,70.83,0.002600132161501245,0.23337894822286254,0.000792393026941363,0.07112248136646,0.2307788160613613
Canada,20200608,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,97779.0,70.83,0.0011935136231139324,0.19239246168357696,0.00036372453928225026,0.05863180623331432,0.19119894806046303
Canada,20200615,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,100763.0,70.83,0.0020863880386676656,0.16994689834521504,0.0006358289620092195,0.05179149706040685,0.16786051030654736
Canada,20200622,3.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,103418.0,68.98,0.0,0.13417595486732822,0.0,0.0408902641928338,0.13417595486732822
China,20200106,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,1.0,0.0,,2.78,0.8816004048491994,0.8682813565391558,0.35096818810511754,0.345665828638234,-0.013319048310043602
China,20200113,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,1.0,0.0,,2.78,0.8026828064357291,0.7460480997540011,0.31955081763610016,0.29700434388379865,-0.056634706681727986
China,20200120,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,0.0,1.0,2.0,1.0,1.0,,8.33,0.716650332120939,0.6565665608853247,0.2853009903193502,0.2613814319694502,-0.06008377123561426
China,20200127,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,2.0,3.0,0.0,2863.0,69.91,0.5076834467580478,0.5913588962928248,0.2021105462968921,0.23542203384903912,0.08367544953477701
China,20200203,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,2.0,3.0,0.0,19693.0,77.31,0.23412480062137125,0.5166603299300736,0.0932058976068756,0.2056842747166926,0.28253552930870235
China,20200210,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,2.0,3.0,0.0,42306.0,75.46,0.09777488868752225,0.4647739243345809,0.03892452332835428,0.18502811614533593,0.36699903564705866
China,20200217,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,2.0,2.0,3.0,0.0,72364.0,75.46,0.04263161000935981,0.42938990044881115,0.016971792252691128,0.17094161314153902,0.3867582904394513
China,20200224,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,2.0,2.0,3.0,0.0,77152.0,75.46,0.03391112039802413,0.3995563183723869,0.013500135001350014,0.15906476033106537,0.3656451979743628
China,20200302,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,,0.0,2.0,1.0,2.0,2.0,3.0,0.0,80026.0,81.02,0.02104666897175734,0.3716064215247927,0.008378752135361588,0.14793780916320262,0.35055975255303534
China,20200309,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,,0.0,2.0,1.0,2.0,2.0,3.0,0.0,80735.0,81.02,0.024324249719298845,0.3486964355941435,0.00968356843309188,0.1388172640643502,0.3243721858748446
China,20200316,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,,0.0,2.0,1.0,2.0,2.0,3.0,0.0,80867.0,79.17,0.02222928960132425,0.34213463261902366,0.008849557522123894,0.1362049874725824,0.3199053430176994
China,20200323,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,,0.0,2.0,1.0,2.0,2.0,3.0,0.0,81118.0,79.17,0.01361013953249638,0.46759980862875095,0.005418243895197803,0.18615311051360556,0.45398966909625454
China,20200330,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,3.0,0.0,2.0,0.0,3.0,0.0,,0.0,2.0,1.0,2.0,2.0,2.0,1.0,81478.0,73.61,0.008819244175371778,0.30392658369094944,0.0035109717868338558,0.12099423027515156,0.29510733951557766
